"","word","freq"
"불법주정차","불법주정차",74
"육교","육교",52
"삼계동","삼계동",48
"장애인","장애인",42
"삼계","삼계",38
"차선","차선",33
"도로","도로",29
"주차","주차",28
"차량","차량",28
"계약","계약",26
"아파트","아파트",25
"개선","개선",24
"설치","설치",23
"카메라","카메라",23
"좌회전","좌회전",22
"부영","부영",20
"게수작","게수작",18
"경전철","경전철",17
"무단","무단",17
"인도","인도",17
"직진","직진",16
"위험","위험",15
"횡단보도","횡단보도",15
"대형차","대형차",14
"불법","불법",14
"주차장","주차장",14
"버스정류장","버스정류장",13
"안전","안전",13
"단속","단속",12
"엘레베이트","엘레베이트",12
"해반천","해반천",12
"확보","확보",12
"방향","방향",11
"우회전","우회전",11
"주정차","주정차",11
"sk","sk",10
"높이","높이",10
"대기","대기",10
"오후","오후",10
"골대","골대",9
"깜빡이","깜빡이",9
"방향지시등","방향지시등",9
"불편","불편",9
"위반","위반",9
"탑마트","탑마트",9
"특정","특정",9
"화정","화정",9
"가로등","가로등",8
"거리","거리",8
"농구","농구",8
"대로변","대로변",8
"대지","대지",8
"대형","대형",8
"범죄","범죄",8
"안전사고","안전사고",8
"연장","연장",8
"예방","예방",8
"임대","임대",8
"작업자","작업자",8
"조치","조치",8
"철거","철거",8
"토지주","토지주",8
"폐기물","폐기물",8
"횡단","횡단",8
"건물","건물",7
"라인","라인",7
"밤샘","밤샘",7
"변경","변경",7
"신호위반","신호위반",7
"전용","전용",7
"좌측","좌측",7
"출퇴근","출퇴근",7
"흰색","흰색",7
"구역","구역",6
"급브레이크","급브레이크",6
"남의","남의",6
"맥도날드","맥도날드",6
"모여","모여",6
"밝기","밝기",6
"삼계두산위브","삼계두산위브",6
"시행","시행",6
"아스팔트","아스팔트",6
"애완동물","애완동물",6
"왼쪽","왼쪽",6
"운전","운전",6
"월세","월세",6
"입구","입구",6
"정성","정성",6
"주차장으","주차장으",6
"차도","차도",6
"천장","천장",6
"추월","추월",6
"충돌","충돌",6
"편리","편리",6
"피해","피해",6
"한쪽","한쪽",6
"화살표","화살표",6
"건물주","건물주",5
"교차로","교차로",5
"대책","대책",5
"목격","목격",5
"바닥","바닥",5
"보도","보도",5
"보행","보행",5
"보행자","보행자",5
"삼성","삼성",5
"속도","속도",5
"신호","신호",5
"이후","이후",5
"저녁","저녁",5
"정규","정규",5
"좋겠","좋겠",5
"파크","파크",5
"학교","학교",5
"현장","현장",5
"가로수","가로수",4
"객의","객의",4
"거동","거동",4
"건설현장","건설현장",4
