"","word","freq"
"불법주정차","불법주정차",186
"장애인","장애인",74
"장유","장유",54
"주차","주차",32
"위반","위반",25
"부영","부영",23
"시능동","시능동",15
"차량","차량",14
"인도","인도",13
"주차장","주차장",13
"아파트","아파트",12
"율하","율하",12
"하주","하주",11
"구역","구역",10
"불법광고","불법광고",10
"거리","거리",9
"대청","대청",9
"번길","번길",9
"상습적","상습적",9
"단속","단속",8
"입구","입구",8
"건물","건물",7
"도로","도로",7
"불편","불편",7
"능동","능동",6
"불법","불법",6
"비장","비장",6
"센텀프라자앞","센텀프라자앞",6
"결과","결과",5
"내덕","내덕",5
"라인","라인",5
"맞은편","맞은편",5
"조치","조치",5
"ic","ic",4
"공원","공원",4
"근처","근처",4
"매연","매연",4
"반룡","반룡",4
"이편","이편",4
"일반차량","일반차량",4
"장애자","장애자",4
"차도","차도",4
"통행","통행",4
"푸르지","푸르지",4
"개선","개선",3
"계동","계동",3
"나무","나무",3
"모아미래","모아미래",3
"번가","번가",3
"번째","번째",3
"벤치","벤치",3
"본문","본문",3
"빗물","빗물",3
"상가","상가",3
"센터","센터",3
"수거","수거",3
"스티커","스티커",3
"시경","시경",3
"심각","심각",3
"야간","야간",3
"외식","외식",3
"위험","위험",3
"율현주공","율현주공",3
"적절","적절",3
"정차","정차",3
"조명등","조명등",3
"차주","차주",3
"풀에버","풀에버",3
"학생","학생",3
"해놨네요","해놨네요",3
"환경오염행위","환경오염행위",3
"횡단보도","횡단보도",3
"가로막","가로막",2
"강력","강력",2
"건너편","건너편",2
"견인차량","견인차량",2
"경찰","경찰",2
"계도","계도",2
"계형","계형",2
"고요","고요",2
"공사장","공사장",2
"과태료","과태료",2
"과태료부과","과태료부과",2
"관동초등학교","관동초등학교",2
"구멍","구멍",2
"그네","그네",2
"노점상","노점상",2
"농협","농협",2
"도로가","도로가",2
"도로공사","도로공사",2
"도로교통법","도로교통법",2
"도롯가","도롯가",2
"도배","도배",2
"동사무소","동사무소",2
"동의","동의",2
"되겠","되겠",2
"뒷편","뒷편",2
"드릴게요","드릴게요",2
"말고","말고",2
"명진파크뷰","명진파크뷰",2
"바닥","바닥",2
"방출","방출",2
"버스","버스",2
"번호판","번호판",2
"벽보","벽보",2
"보시","보시",2
"부곡초등학교","부곡초등학교",2
"부산","부산",2
"부착","부착",2
"빠른조치","빠른조치",2
"상주","상주",2
"설치","설치",2
"센텀프라","센텀프라",2
"소공원","소공원",2
"수리","수리",2
"신호등","신호등",2
"쌍용예","쌍용예",2
"옆센텀사우","옆센텀사우",2
"오르막길","오르막길",2
"오후","오후",2
"운전","운전",2
"울하동","울하동",2
"월산","월산",2
"월산주공","월산주공",2
"위반으","위반으",2
"유관기관","유관기관",2
"율현마","율현마",2
"일반인","일반인",2
"자동차","자동차",2
"자시","자시",2
"장부","장부",2
"장비","장비",2
"장소","장소",2
"장유계곡","장유계곡",2
"장유롯데마트","장유롯데마트",2
"장유면","장유면",2
"장유석봉마","장유석봉마",2
"전용","전용",2
"전화","전화",2
"정기검사","정기검사",2
"정당","정당",2
"정유","정유",2
"주차되있","주차되있",2
"주차를했","주차를했",2
"주차를했단겁니","주차를했단겁니",2
"주차하","주차하",2
"중앙하이츠","중앙하이츠",2
"쪽자현수막","쪽자현수막",2
"창원터널","창원터널",2
"창원터널직전","창원터널직전",2
"처벌","처벌",2
"출구","출구",2
"출발","출발",2
"투표","투표",2
"파손","파손",2
"표시","표시",2
"프라이버시","프라이버시",2
"할거없","할거없",2
"해주는건","해주는건",2
"허락","허락",2
"현수막","현수막",2
"협조","협조",2
"호라","호라",2
"후방","후방",2
"흰색","흰색",2
"gp","gp",1
"ok","ok",1
"가게","가게",1
"가리며주차","가리며주차",1
"가시","가시",1
"가족","가족",1
"감안","감안",1
"같은자리","같은자리",1
"개념","개념",1
"걸려넘어","걸려넘어",1
"검정","검정",1
"견했","견했",1
"경찰서","경찰서",1
"고도","고도",1
"곡면","곡면",1
"공공","공공",1
"공도","공도",1
"공직선거","공직선거",1
"관동","관동",1
"관동중학교","관동중학교",1
"관리가","관리가",1
"관여한걸","관여한걸",1
"광고","광고",1
"광희빌딩","광희빌딩",1
"교통","교통",1
"구석","구석",1
"구형체로키차량","구형체로키차량",1
"국가","국가",1
"국산차","국산차",1
"권유","권유",1
"그곳","그곳",1
"그랜드스타렉스","그랜드스타렉스",1
"그자","그자",1
"근원","근원",1
"금지구역","금지구역",1
"기아","기아",1
"기온","기온",1
"기집","기집",1
"길가","길가",1
"김밥","김밥",1
"김새시능동","김새시능동",1
"김햇능동","김햇능동",1
"끌고다니","끌고다니",1
"납세","납세",1
"내려온길","내려온길",1
"너무한거같","너무한거같",1
"놨어","놨어",1
"누가","누가",1
"는남","는남",1
"는여","는여",1
"다들건강","다들건강",1
"다리","다리",1
"다막","다막",1
"당연","당연",1
"대동","대동",1
"대동아","대동아",1
"대부분","대부분",1
"대응","대응",1
"대학교","대학교",1
"덕정","덕정",1
"도네누","도네누",1
"도로명","도로명",1
"도로정비","도로정비",1
"동소","동소",1
"동영상","동영상",1
"동원로얄듀크","동원로얄듀크",1
"동집","동집",1
"두군데","두군데",1
"레이차량","레이차량",1
"렌트카","렌트카",1
"렛츠런파크","렛츠런파크",1
"마티즈","마티즈",1
"매기","매기",1
"매일","매일",1
"매장","매장",1
"며칠","며칠",1
"며칠씩","며칠씩",1
