"","word","freq"
"불법주정차","불법주정차",674
"장애인","장애인",388
"주차","주차",344
"차량","차량",228
"도로","도로",183
"인도","인도",132
"위반","위반",129
"아파트","아파트",120
"단속","단속",109
"장유","장유",100
"주차장","주차장",98
"불법","불법",94
"조치","조치",93
"삼문","삼문",86
"통행","통행",86
"불편","불편",85
"공사","공사",82
"설치","설치",77
"선거","선거",60
"위험","위험",60
"거리","거리",56
"버스","버스",52
"입구","입구",52
"전화","전화",52
"진영읍","진영읍",50
"하주","하주",48
"대청","대청",41
"회사","회사",41
"불법광고","불법광고",40
"삼계동","삼계동",40
"피해","피해",39
"오전","오전",38
"정차","정차",38
"진영","진영",38
"기사","기사",37
"진행","진행",37
"능동","능동",36
"오후","오후",36
"구역","구역",35
"부영","부영",35
"안전","안전",35
"정상","정상",34
"횡단보도","횡단보도",34
"건물","건물",33
"보도","보도",33
"상태","상태",33
"가게","가게",32
"가로등","가로등",31
"차선","차선",31
"배관","배관",30
"번길","번길",30
"해킹하","해킹하",30
"공원","공원",29
"보시","보시",29
"야간","야간",28
"업무","업무",28
"해결","해결",28
"삼계","삼계",27
"도로가","도로가",26
"아침","아침",26
"라인","라인",25
"맞은편","맞은편",25
"부분","부분",25
"연지공원","연지공원",25
"정문","정문",24
"좌회전","좌회전",24
"주위","주위",24
"허가","허가",24
"공용","공용",23
"근처","근처",23
"리츠빌","리츠빌",23
"보행자","보행자",23
"율하","율하",23
"장소","장소",23
"철거","철거",23
"하기","하기",23
"하수","하수",23
"개선","개선",22
"과태료","과태료",22
"근무","근무",22
"일반차량","일반차량",22
"자체","자체",22
"전등","전등",22
"주정차","주정차",22
"차도","차도",22
"출근","출근",22
"교통","교통",21
"외동","외동",21
"전용","전용",21
"정확","정확",21
"추적","추적",21
"화물차","화물차",21
"확보","확보",21
"교체","교체",20
"변경","변경",20
"빌라","빌라",20
"유실","유실",20
"입주자","입주자",20
"작년","작년",20
"주거","주거",20
"주말","주말",20
"증거","증거",20
"택시","택시",20
"결과","결과",19
"당연","당연",19
"동네","동네",19
"물이","물이",19
"벌금","벌금",19
"복지","복지",19
"부원","부원",19
"삼방동","삼방동",19
"수고","수고",19
"시정","시정",19
"주택","주택",19
"행사","행사",19
"갑오","갑오",18
"기분","기분",18
"시설","시설",18
"영업","영업",18
"장애","장애",18
"저녁","저녁",18
"청소","청소",18
"타이머","타이머",18
"파손","파손",18
"거주","거주",17
"골목","골목",17
"관동동","관동동",17
"동문굿모닝힐","동문굿모닝힐",17
"부산","부산",17
"상주","상주",17
"신호","신호",17
"신호등","신호등",17
"인근","인근",17
"주차하","주차하",17
"진입","진입",17
"파일","파일",17
"계단","계단",16
"고가","고가",16
"곳곳","곳곳",16
"내동","내동",16
"대상","대상",16
"도서관","도서관",16
"방치","방치",16
"상습적","상습적",16
"세대","세대",16
"센터","센터",16
