"","word","freq"
"불법주정차","불법주정차",55
"장애인","장애인",36
"장유","장유",30
"주차","주차",18
"차량","차량",11
"부영","부영",9
"위반","위반",7
"그루","그루",6
"근처","근처",6
"식재","식재",6
"아파트","아파트",6
"이편","이편",6
"장애자","장애자",6
"구역","구역",5
"주차장","주차장",5
"경마","경마",4
"부산","부산",4
"횡단보도","횡단보도",4
"불법","불법",3
"불편","불편",3
"스티커","스티커",3
"쌍용예","쌍용예",3
"안될시","안될시",3
"운전","운전",3
"인도","인도",3
"진출","진출",3
"추가","추가",3
"탑마트","탑마트",3
"강력단숙","강력단숙",2
"거리","거리",2
"건물","건물",2
"결과","결과",2
"나무","나무",2
"네오","네오",2
"단속","단속",2
"대청","대청",2
"덕정","덕정",2
"도로","도로",2
"동영상","동영상",2
"등대","등대",2
"라인","라인",2
"마약","마약",2
"매일","매일",2
"모퉁이","모퉁이",2
"바닥","바닥",2
"바닷물","바닷물",2
"방해","방해",2
"불법추차","불법추차",2
"석봉마","석봉마",2
"센텀프라자앞","센텀프라자앞",2
"소공원","소공원",2
"아반떼md","아반떼md",2
"악질","악질",2
"얌체","얌체",2
"업체","업체",2
"오전","오전",2
"위험","위험",2
"율하이편한","율하이편한",2
"이그","이그",2
"입구","입구",2
"자동차학원","자동차학원",2
"장유면","장유면",2
"장유스포츠센터","장유스포츠센터",2
"전용","전용",2
"정문","정문",2
"조치","조치",2
"차내","차내",2
"처벌","처벌",2
"통행","통행",2
"트렁크","트렁크",2
"팔판마","팔판마",2
"편의점","편의점",2
"푸르지","푸르지",2
"피하","피하",2
"현수막","현수막",2
"cu","cu",1
"u턴금지","u턴금지",1
"u턴차량들땜","u턴차량들땜",1
"u턴하","u턴하",1
"가까운출입문","가까운출입문",1
"가운데","가운데",1
"갑오","갑오",1
"강력","강력",1
"건널목","건널목",1
"골목","골목",1
"공공","공공",1
"과태료","과태료",1
"관계","관계",1
"국가유공자","국가유공자",1
"규정","규정",1
"그곳","그곳",1
"그낌니","그낌니",1
"길을","길을",1
"놀이터","놀이터",1
"놓안거","놓안거",1
"대흥","대흥",1
"도저","도저",1
"되있네요","되있네요",1
"두곳역시","두곳역시",1
"들어갈라하","들어갈라하",1
"렛츠런","렛츠런",1
"롯데마트","롯데마트",1
"롯데프리미엄","롯데프리미엄",1
"료되","료되",1
"많은","많은",1
"말고","말고",1
"맥주집","맥주집",1
"모아미래","모아미래",1
"목숨","목숨",1
"무단","무단",1
"물의","물의",1
"물이","물이",1
"방류","방류",1
"방법","방법",1
"방치","방치",1
"번거","번거",1
"번길","번길",1
"번호","번호",1
"벌금","벌금",1
"벤치","벤치",1
"볼보","볼보",1
"부곡리","부곡리",1
"부과","부과",1
"부분","부분",1
"부족","부족",1
"북적","북적",1
"불법u턴","불법u턴",1
"비린내","비린내",1
"비서실","비서실",1
"비젼","비젼",1
"삼투압","삼투압",1
"상가","상가",1
"상습적","상습적",1
"세영리첼","세영리첼",1
"센터","센터",1
"소금기","소금기",1
"시경","시경",1
"시능동","시능동",1
"시설물","시설물",1
"신설","신설",1
"실리콘","실리콘",1
"심각","심각",1
"아울렛","아울렛",1
"악성","악성",1
"안될지래","안될지래",1
"양이","양이",1
"여성","여성",1
"염치","염치",1
"영업","영업",1
"영향","영향",1
"옆쪽","옆쪽",1
"예상","예상",1
"예정","예정",1
"오는길","오는길",1
"와중","와중",1
"용어","용어",1
"월산","월산",1
"월산부영아파트","월산부영아파트",1
"위헙합니","위헙합니",1
"유동인구","유동인구",1
"유턴차땜","유턴차땜",1
"율하","율하",1
"이로","이로",1
"이보","이보",1
"이야기","이야기",1
"인상","인상",1
"일반차량","일반차량",1
"일어났","일어났",1
"임시","임시",1
"자전거","자전거",1
"장애","장애",1
"전면","전면",1
"전화","전화",1
"정문앞역시","정문앞역시",1
"제일","제일",1
"주정차","주정차",1
"주차구역입다","주차구역입다",1
"주차위반으","주차위반으",1
"주차하","주차하",1
"주착","주착",1
"죽기","죽기",1
"중간","중간",1
"지서","지서",1
"진짜","진짜",1
"차도","차도",1
"차량들땜","차량들땜",1
"차례","차례",1
"차선도로","차선도로",1
"차종","차종",1
"철거","철거",1
"투다","투다",1
"파손","파손",1
"파크","파크",1
"평소","평소",1
"포기","포기",1
"표시","표시",1
"프라이버시","프라이버시",1
"피해","피해",1
"하주","하주",1
"행위","행위",1
"호라인앞","호라인앞",1
