"","word","freq"
"불법주정차","불법주정차",65
"장애인","장애인",58
"장유","장유",21
"주차","주차",21
"주차장","주차장",15
"능동","능동",12
"비장","비장",12
"위반","위반",12
"불법","불법",10
"차량","차량",10
"율하","율하",8
"구역","구역",7
"하주","하주",7
"센터","센터",6
"장애자","장애자",6
"라인","라인",5
"아파트","아파트",5
"위험","위험",5
"단속","단속",4
"부영","부영",4
"악취","악취",4
"진행","진행",4
"철거","철거",4
"갑오","갑오",3
"건물","건물",3
"도로","도로",3
"불법광고","불법광고",3
"삼거리","삼거리",3
"상가","상가",3
"어린이집","어린이집",3
"일반차량","일반차량",3
"장애","장애",3
"전용","전용",3
"주차위반","주차위반",3
"차량통행","차량통행",3
"피해","피해",3
"감독","감독",2
"고의위험이있","고의위험이있",2
"관할","관할",2
"근처","근처",2
"냄새","냄새",2
"덕산아내아파트","덕산아내아파트",2
"덕정","덕정",2
"덤프트럭","덤프트럭",2
"롯데","롯데",2
"마크","마크",2
"마트","마트",2
"무인","무인",2
"부곡","부곡",2
"불법유턴등이잦","불법유턴등이잦",2
"불편","불편",2
"상습","상습",2
"새벽","새벽",2
"설치","설치",2
"시정조치","시정조치",2
"월산","월산",2
"월산마","월산마",2
"월산마을부영","월산마을부영",2
"월산부영","월산부영",2
"율하푸르지","율하푸르지",2
"자리","자리",2
"장유면","장유면",2
"조치","조치",2
"중앙하이츠","중앙하이츠",2
"처벌","처벌",2
"출근","출근",2
"통로","통로",2
"평행","평행",2
"풀에버","풀에버",2
"하루","하루",2
"가게","가게",1
"감지","감지",1
"개선","개선",1
"개선해준다","개선해준다",1
"거리","거리",1
"거주","거주",1
"건널목","건널목",1
"건널목건너","건널목건너",1
"건물주","건물주",1
"건재","건재",1
"검정색","검정색",1
"겨울","겨울",1
"결과","결과",1
"경마","경마",1
"경비","경비",1
"고무","고무",1
"공사","공사",1
"관동","관동",1
"관동리","관동리",1
"관리소에전화해","관리소에전화해",1
"교차","교차",1
"국공립","국공립",1
"군데","군데",1
"귀찮","귀찮",1
"규정","규정",1
"근데며칠전","근데며칠전",1
"급기","급기",1
"급을못","급을못",1
"기계","기계",1
"기울어졌","기울어졌",1
"나무","나무",1
"네요","네요",1
"노후","노후",1
"높이","높이",1
"당아파트","당아파트",1
"대가","대가",1
"대청계곡올라","대청계곡올라",1
"던킨도넛앞","던킨도넛앞",1
"도로변","도로변",1
"돌변","돌변",1
"동동앞","동동앞",1
"동의","동의",1
"동일","동일",1
"동지","동지",1
"등본발급을위해","등본발급을위해",1
"딱지","딱지",1
"로매퀘","로매퀘",1
"롯데마트","롯데마트",1
"말고","말고",1
"먼지","먼지",1
"며칠","며칠",1
"모텔","모텔",1
"못들어오","못들어오",1
"무타","무타",1
"문인","문인",1
"미점","미점",1
"반대편","반대편",1
"반룡","반룡",1
"밤샘","밤샘",1
"밤에","밤에",1
"방해","방해",1
"방향","방향",1
"방향지시등","방향지시등",1
"버젓","버젓",1
"보장","보장",1
"보행자","보행자",1
"보호","보호",1
"부산","부산",1
"부영e그","부영e그",1
"부착","부착",1
"분명","분명",1
"불법유턴차량","불법유턴차량",1
"불법주정차하","불법주정차하",1
"붕괴위험","붕괴위험",1
"뿌리","뿌리",1
"상습범","상습범",1
"상습적","상습적",1
"상태","상태",1
"샛길","샛길",1
"석봉마","석봉마",1
"세영리첼","세영리첼",1
"센서","센서",1
"소방서","소방서",1
"수시","수시",1
"수십","수십",1
"스란","스란",1
"시공사","시공사",1
"시부","시부",1
"시설","시설",1
"시설물","시설물",1
"시정","시정",1
"신호대기","신호대기",1
"실패","실패",1
"쓰레기","쓰레기",1
"아니겠","아니겠",1
"아무","아무",1
"아침","아침",1
"아침저녁","아침저녁",1
"아쿠아빌딩","아쿠아빌딩",1
"안전","안전",1
"암묵","암묵",1
"앞쪽","앞쪽",1
"어제","어제",1
"엄청","엄청",1
"엘지슈퍼내","엘지슈퍼내",1
"염려","염려",1
"오고","오고",1
"오전","오전",1
"오후","오후",1
"올려","올려",1
"운전","운전",1
"유적","유적",1
"유턴","유턴",1
"율하성당","율하성당",1
"율현주공","율현주공",1
"의지","의지",1
"이기","이기",1
"이틀째","이틀째",1
"일반","일반",1
"일반차","일반차",1
"일수","일수",1
"일정부분","일정부분",1
"있긴","있긴",1
"있는거요","있는거요",1
"자체","자체",1
"작업","작업",1
"잘인식안된다","잘인식안된다",1
"잘인식이안되","잘인식이안되",1
"장소","장소",1
"장애자불차","장애자불차",1
"장유도서관","장유도서관",1
"장유율하","장유율하",1
"저분해짐","저분해짐",1
"저차","저차",1
"저확","저확",1
"적발","적발",1
"적법","적법",1
"전쟁","전쟁",1
"정문","정문",1
"정화시설","정화시설",1
"좋겠","좋겠",1
"주말","주말",1
"주정차","주정차",1
"주차되어있","주차되어있",1
"중앙","중앙",1
"찌르겠","찌르겠",1
"차량번호","차량번호",1
"차량통행량","차량통행량",1
"차주","차주",1
"찻길","찻길",1
"창원","창원",1
"체육공원","체육공원",1
"출퇴근용으","출퇴근용으",1
"코로숨도쉬","코로숨도쉬",1
"탑승","탑승",1
"톨게이트","톨게이트",1
"통행","통행",1
"퇴근","퇴근",1
"툭튀","툭튀",1
"특징","특징",1
"파란색","파란색",1
"파손","파손",1
"편의","편의",1
"푸르지","푸르지",1
"풀에버아파트","풀에버아파트",1
"하기","하기",1
"하니깐","하니깐",1
"하이츠","하이츠",1
"한쪽","한쪽",1
"해결","해결",1
"현수막","현수막",1
"횡단보도","횡단보도",1
"후문","후문",1
"후방","후방",1
"휴일","휴일",1
