"","word","freq"
"불법주정차","불법주정차",589
"장애인","장애인",276
"주차","주차",218
"차량","차량",131
"도로","도로",125
"위반","위반",117
"주차장","주차장",107
"아파트","아파트",104
"단속","단속",95
"불편","불편",84
"삼계","삼계",74
"인도","인도",70
"버스","버스",69
"설치","설치",58
"과태료","과태료",56
"장유","장유",54
"진영","진영",51
"대우푸르지","대우푸르지",50
"불법","불법",47
"부과","부과",44
"조치","조치",43
"구역","구역",38
"진영읍","진영읍",38
"차선","차선",36
"주차하","주차하",35
"능동","능동",34
"하주","하주",33
"오후","오후",32
"위험","위험",32
"전화","전화",32
"거리","거리",31
"공사","공사",29
"번길","번길",29
"부영","부영",29
"삼계동","삼계동",29
"소리","소리",29
"쓰레기","쓰레기",29
"개선","개선",28
"건물","건물",28
"구산동","구산동",28
"일반차량","일반차량",27
"화물차","화물차",27
"도로가","도로가",26
"부과대상","부과대상",26
"상설할인마트옆","상설할인마트옆",26
"오전","오전",26
"율하","율하",26
"진입","진입",26
"진행","진행",26
"기사","기사",25
"부원","부원",25
"트럭","트럭",24
"외동","외동",23
"입구","입구",23
"교사","교사",22
"봉황","봉황",22
"비장","비장",22
"조속","조속",22
"업무","업무",21
"차량번호","차량번호",21
"대청","대청",20
"버스기사","버스기사",20
"벌금","벌금",20
"통행","통행",20
"파손","파손",20
"기존","기존",19
"안전","안전",19
"횡단보도","횡단보도",19
"대로","대로",18
"도로변","도로변",18
"수업","수업",18
"시경","시경",18
"전용","전용",18
"중흥","중흥",18
"관리","관리",17
"방치","방치",17
"세대","세대",17
"거주","거주",16
"라인","라인",16
"맞은편","맞은편",16
"목격","목격",16
"부분","부분",16
"영어","영어",16
"장소","장소",16
"적어","적어",16
"좌회전","좌회전",16
"진영리","진영리",16
"공장","공장",15
"변경","변경",15
"부산","부산",15
"불법광고","불법광고",15
"상태","상태",15
"은행","은행",15
"가로등","가로등",14
"도로교통법","도로교통법",14
"도로교통법상","도로교통법상",14
"잘못된","잘못된",14
"차아파트","차아파트",14
"철거","철거",14
"파일","파일",14
"교차로","교차로",13
"교통","교통",13
"롯데마트","롯데마트",13
"매입","매입",13
"상습","상습",13
"아침","아침",13
"애기","애기",13
"역인","역인",13
"출근","출근",13
"해결","해결",13
"강력","강력",12
"내동","내동",12
"대기","대기",12
"마을","마을",12
"무단","무단",12
