"","word","freq"
"불법주정차","불법주정차",595
"주차","주차",414
"차량","차량",357
"장애인","장애인",320
"도로","도로",285
"아파트","아파트",259
"설치","설치",209
"공사","공사",200
"단속","단속",171
"위험","위험",139
"장유","장유",138
"조치","조치",134
"불편","불편",129
"버스","버스",127
"불법","불법",124
"위반","위반",119
"주차장","주차장",110
"안전","안전",102
"건물","건물",95
"거리","거리",92
"진행","진행",86
"인도","인도",82
"피해","피해",80
"횡단보도","횡단보도",78
"부분","부분",77
"주택","주택",76
"물상","물상",74
"차선","차선",72
"번길","번길",71
"창문","창문",70
"통행","통행",69
"전화","전화",68
"소리","소리",67
"신호","신호",67
"야간","야간",67
"진영","진영",67
"거주","거주",65
"작업","작업",65
"아침","아침",62
"허가","허가",60
"해결","해결",59
"직진","직진",57
"측정","측정",57
"방해","방해",56
"상차","상차",56
"보행자","보행자",54
"봉황","봉황",54
"영업","영업",54
"진영읍","진영읍",54
"부영","부영",53
"삼계동","삼계동",53
"택시","택시",53
"개선","개선",52
"냄새","냄새",52
"차로","차로",52
"토지","토지",52
"나무","나무",51
"학생","학생",51
"현장","현장",51
"상가","상가",50
"과속","과속",49
"기사","기사",49
"오수","오수",48
"좌회전","좌회전",48
"저녁","저녁",47
"정차","정차",47
"상태","상태",46
"해반천","해반천",46
"변경","변경",44
"불법광고","불법광고",44
"오전","오전",44
"용도","용도",44
"율하","율하",44
"이편","이편",44
"진입","진입",44
"구역","구역",43
"새벽","새벽",43
"시설","시설",43
"전신주","전신주",43
"모르겠","모르겠",42
"쓰레기","쓰레기",42
"고가","고가",41
"예산","예산",41
"인지","인지",40
"입주자","입주자",39
"전용","전용",39
"걱정","걱정",38
"공장","공장",38
"근처","근처",38
"수가","수가",38
"위협","위협",38
"입구","입구",38
"자동차","자동차",38
"철거","철거",38
"학교","학교",38
"관리","관리",37
"우회전","우회전",37
"최근","최근",37
"대형트럭","대형트럭",36
"빌라","빌라",36
"외동","외동",36
"운행","운행",36
"정확","정확",36
"표시","표시",36
"회사","회사",36
"건축","건축",35
"그곳","그곳",35
"내동","내동",34
"도로가","도로가",34
"방향","방향",34
"시정","시정",34
"통학","통학",34
"강력","강력",33
"건축물","건축물",33
"미세","미세",33
"버스정류장","버스정류장",33
"신호위반","신호위반",33
"이전","이전",33
"중화","중화",33
"파손","파손",33
"맞은편","맞은편",32
"보도","보도",32
"삼계","삼계",32
"신청","신청",32
"카메라","카메라",32
"가로등","가로등",31
"가족","가족",30
"교통","교통",30
"대청","대청",30
"예정","예정",30
"저도","저도",30
"정류장","정류장",30
"주정차","주정차",30
"라인","라인",29
"방지","방지",29
"운전","운전",29
"골목","골목",28
"대로","대로",28
"매일","매일",28
"분양","분양",28
"심각","심각",28
"업체","업체",28
"제거","제거",28
"집게","집게",28
"출근","출근",28
"하주","하주",28
"계획","계획",27
"단말기","단말기",27
"삼문","삼문",27
"일요일","일요일",27
"주말","주말",27
"화물차","화물차",27
"가게","가게",26
"구간","구간",26
"목소리","목소리",26
"시야","시야",26
"이후","이후",26
"중앙","중앙",26
"파일","파일",26
"현수막","현수막",26
"화재","화재",26
"건설","건설",25
"과태료","과태료",25
"방법","방법",25
"벌금","벌금",25
"업무","업무",25
"요구","요구",25
"전선","전선",25
"좋겠","좋겠",25
"주소","주소",25
"환경","환경",25
"cctv","cctv",24
"공원","공원",24
"관동동","관동동",24
"금지","금지",24
"노고","노고",24
"다리","다리",24
"대지","대지",24
"맨홀","맨홀",24
"무시","무시",24
"버스기사","버스기사",24
"부산","부산",24
"삼성","삼성",24
"신호등","신호등",24
"악취","악취",24
"연지공원","연지공원",24
"흥동","흥동",24
"교차로","교차로",23
"방치","방치",23
"속도","속도",23
"손님","손님",23
"시행령","시행령",23
"어린이","어린이",23
"이동","이동",23
"일반","일반",23
"입주","입주",23
"자제","자제",23
"조속","조속",23
"진영리","진영리",23
"ic","ic",22
"결과","결과",22
"고물상","고물상",22
"고의","고의",22
"국토","국토",22
"규정","규정",22
"날씨","날씨",22
"밤에","밤에",22
"보행","보행",22
"부족","부족",22
"수고","수고",22
"시행","시행",22
"쓰레기통","쓰레기통",22
"오후","오후",22
"유턴","유턴",22
"인근","인근",22
"장소","장소",22
"추가","추가",22
"하기","하기",22
"건널목","건널목",21
"길을","길을",21
"대중","대중",21
"여름","여름",21
"원룸","원룸",21
"이웃","이웃",21
"이편한세상","이편한세상",21
"전체","전체",21
"정리","정리",21
"제일","제일",21
"질의","질의",21
"카드","카드",21
"탑승","탑승",21
"한두","한두",21
"개발","개발",20
"내외","내외",20
"내지","내지",20
"도시계획시설","도시계획시설",20
"산책","산책",20
"삼정","삼정",20
"스티커","스티커",20
"실제","실제",20
"어제","어제",20
"열지","열지",20
"요금","요금",20
"율하천","율하천",20
"정문","정문",20
"조사","조사",20
"필지","필지",20
"하루","하루",20
"허용","허용",20
"각이","각이",19
"공공","공공",19
"구산동","구산동",19
"누구","누구",19
"능동","능동",19
"대형차량","대형차량",19
"마트","마트",19
"번호","번호",19
"보호","보호",19
"삼거리","삼거리",19
"상습","상습",19
"수고많으","수고많으",19
"수도","수도",19
"인원","인원",19
"조합원","조합원",19
"판단","판단",19
"확실","확실",19
"견인","견인",18
"교육","교육",18
"기본","기본",18
"네요","네요",18
"목격","목격",18
"미관상","미관상",18
"시설물","시설물",18
"쌍용예","쌍용예",18
"영상","영상",18
"일어","일어",18
"자전거","자전거",18
"장모","장모",18
"주차하","주차하",18
"택지","택지",18
"헌법","헌법",18
"권리","권리",17
"대책","대책",17
"대형","대형",17
"미터","미터",17
"베란다","베란다",17
"빈번","빈번",17
"시공","시공",17
"양쪽","양쪽",17
"어른","어른",17
"어방동","어방동",17
"장사","장사",17
"토요일","토요일",17
"확보","확보",17
"경찰","경찰",16
"담배","담배",16
"당연","당연",16
"마을","마을",16
"무단","무단",16
"방문","방문",16
"분명","분명",16
"삼방동","삼방동",16
"수면","수면",16
"승차","승차",16
"시가","시가",16
"안내","안내",16
"어린이집","어린이집",16
"여자","여자",16
"저번","저번",16
"정비","정비",16
"정지","정지",16
"주위","주위",16
"중지","중지",16
"청구","청구",16
"촬영","촬영",16
"팔판마","팔판마",16
"표지","표지",16
"행위","행위",16
"개인","개인",15
"구분","구분",15
"국토계획","국토계획",15
"근무","근무",15
"도시","도시",15
"동네","동네",15
"동일","동일",15
"번화","번화",15
"부봉지구","부봉지구",15
"비가","비가",15
"세대","세대",15
"시의","시의",15
"신설","신설",15
"실정","실정",15
"예비","예비",15
"오토바이","오토바이",15
"의견","의견",15
"이사","이사",15
"조제","조제",15
"주거","주거",15
"처벌","처벌",15
"출입구","출입구",15
"통로","통로",15
"투기","투기",15
"표지판","표지판",15
"한라","한라",15
"갑오","갑오",14
"공동주택","공동주택",14
"공사장","공사장",14
"공해","공해",14
"관계","관계",14
"국가","국가",14
"길고","길고",14
"깨끗","깨끗",14
"데시벨","데시벨",14
"도저","도저",14
"배출","배출",14
"법률","법률",14
"보통","보통",14
"부과","부과",14
"분성","분성",14
"세금","세금",14
"세입자","세입자",14
"손해","손해",14
"승객","승객",14
"시경","시경",14
"안해","안해",14
"앞쪽","앞쪽",14
"엄청","엄청",14
"업자","업자",14
"연결","연결",14
"외부","외부",14
"운동","운동",14
"자세","자세",14
"전하","전하",14
"주차단속","주차단속",14
"진상","진상",14
"차도","차도",14
"최소한","최소한",14
"출입","출입",14
"출퇴근","출퇴근",14
"터미널","터미널",14
"퇴근","퇴근",14
"트럭","트럭",14
"푸르지오아파트","푸르지오아파트",14
"한쪽","한쪽",14
"행복추구권","행복추구권",14
"확장","확장",14
"건강","건강",13
"건지","건지",13
"건축법","건축법",13
"경적","경적",13
"과정","과정",13
"금관","금관",13
"기분","기분",13
"기존","기존",13
"길이","길이",13
"대기","대기",13
"대부분","대부분",13
"대형화","대형화",13
"롯데마트","롯데마트",13
"마주","마주",13
"백화점","백화점",13
"보기","보기",13
"부득이","부득이",13
