"","word","freq"
"불법주정차","불법주정차",145
"장애인","장애인",77
"주차장","주차장",36
"주차","주차",34
"능동","능동",31
"위반","위반",29
"장유","장유",20
"비장","비장",17
"부영","부영",14
"율하","율하",13
"도로","도로",12
"불법","불법",11
"불편","불편",11
"구역","구역",10
"시능동","시능동",10
"전용","전용",10
"하주","하주",10
"삼문","삼문",9
"입구","입구",9
"차량","차량",9
"단속","단속",8
"리츠빌","리츠빌",8
"위험","위험",8
"아파트","아파트",7
"장애자","장애자",7
"인도","인도",6
"통행","통행",6
"불법광고","불법광고",5
"스티커","스티커",5
"아울렛","아울렛",5
"트럭","트럭",5
"푸르지","푸르지",5
"풀에버","풀에버",5
"거리","거리",4
"과태료","과태료",4
"부과","부과",4
"상습","상습",4
"시가","시가",4
"이마져","이마져",4
"일정기간","일정기간",4
"장기","장기",4
"정보공개","정보공개",4
"직무유기","직무유기",4
"차고","차고",4
"bu","bu",3
"노점상","노점상",3
"라인","라인",3
"번길","번길",3
"보수","보수",3
"월산","월산",3
"율하주공","율하주공",3
"있는거","있는거",3
"장유보건소","장유보건소",3
"조치","조치",3
"주차하","주차하",3
"투기","투기",3
"포터","포터",3
"화물차","화물차",3
"강력","강력",2
"남쪽","남쪽",2
"내덕","내덕",2
"도배","도배",2
"동사무소","동사무소",2
"동앞장애인주","동앞장애인주",2
"만덕","만덕",2
"매일","매일",2
"모닝","모닝",2
"무단","무단",2
"반룡","반룡",2
"방향","방향",2
"버스","버스",2
"번가","번가",2
"북구","북구",2
"서쪽","서쪽",2
"석불사","석불사",2
"설치","설치",2
"세상","세상",2
"시부","시부",2
"쌍용예","쌍용예",2
"연석","연석",2
"오전","오전",2
"오후","오후",2
"외고","외고",2
"외식","외식",2
"월산마을부영","월산마을부영",2
"유모차","유모차",2
"이편","이편",2
"일반차량","일반차량",2
"자전거","자전거",2
"장소","장소",2
"장유스포츠센터","장유스포츠센터",2
"전화번호","전화번호",2
"중앙하이츠","중앙하이츠",2
"차아파트","차아파트",2
"창원","창원",2
"축협","축협",2
"해물","해물",2
"현수막","현수막",2
"화장실","화장실",2
"횡단보도","횡단보도",2
"bmw","bmw",1
"가로수","가로수",1
"갑을","갑을",1
"개선","개선",1
"개소","개소",1
"개조","개조",1
"건물","건물",1
"것으","것으",1
"계곡","계곡",1
"계도","계도",1
"계속","계속",1
"고날뻔했","고날뻔했",1
"고의","고의",1
"과태료부과","과태료부과",1
"관리사무소","관리사무소",1
"관할","관할",1
"광고업체","광고업체",1
"교차로","교차로",1
"구역인지알구","구역인지알구",1
"구조","구조",1
"그렌져","그렌져",1
"그로인해","그로인해",1
"기업","기업",1
"깁오대동아파트","깁오대동아파트",1
"꽁초","꽁초",1
"남의","남의",1
"노상","노상",1
"놀이터","놀이터",1
"높이","높이",1
"다이","다이",1
"담배","담배",1
"담배꽁초","담배꽁초",1
"당연","당연",1
"당직","당직",1
"대가","대가",1
"대답","대답",1
"대로","대로",1
"대청","대청",1
"덕정","덕정",1
"돌출","돌출",1
"로월산마을부영","로월산마을부영",1
"로터리","로터리",1
"롯데마트","롯데마트",1
"롯데마트옆","롯데마트옆",1
"료됨","료됨",1
"르노","르노",1
"마지막","마지막",1
"먼곳","먼곳",1
"명품","명품",1
"모아미래","모아미래",1
"무시","무시",1
"무허가","무허가",1
"문구","문구",1
"미부과","미부과",1
"방치","방치",1
"방치되어있","방치되어있",1
"벌금","벌금",1
"법대","법대",1
"보도","보도",1
"보리밥","보리밥",1
"보리와쌈쟁","보리와쌈쟁",1
"보행자","보행자",1
"부가","부가",1
"부곡","부곡",1
"부산","부산",1
"부산시","부산시",1
"부여","부여",1
"부여마파트","부여마파트",1
"부영이","부영이",1
"부착","부착",1
"불가","불가",1
"불철주야","불철주야",1
"불특정","불특정",1
"비어","비어",1
"빠른조치","빠른조치",1
"빼달라하","빼달라하",1
"뻥튀기","뻥튀기",1
"상가","상가",1
"상도","상도",1
"상태","상태",1
"설연","설연",1
"설치돼있","설치돼있",1
"세코","세코",1
"센터","센터",1
"소유물","소유물",1
"속적으","속적으",1
"수차례","수차례",1
"쉐보레","쉐보레",1
"쉼터","쉼터",1
"슈퍼","슈퍼",1
"스파크","스파크",1
"시내버스","시내버스",1
"시능","시능",1
"시설물","시설물",1
"시정","시정",1
"식당에들어","식당에들어",1
"신경","신경",1
"신설","신설",1
"싼타페","싼타페",1
"쌈쟁이식당앞","쌈쟁이식당앞",1
"쓰레","쓰레",1
"쓰레기","쓰레기",1
"아울렛옆","아울렛옆",1
"아일랜드상","아일랜드상",1
"아줌마","아줌마",1
"악질적","악질적",1
"안걸지않을까요","안걸지않을까요",1
"안되요","안되요",1
"안하","안하",1
"앞도","앞도",1
"앞장","앞장",1
"어린이집","어린이집",1
"엄중","엄중",1
"업소","업소",1
"업장","업장",1
"업장을비방하","업장을비방하",1
"엔젤리너스앞도","엔젤리너스앞도",1
"역과","역과",1
"영업장","영업장",1
"오니","오니",1
"우체국","우체국",1
"우회","우회",1
"월산부영","월산부영",1
"위한것인냥","위한것인냥",1
"위험성","위험성",1
"유류비용","유류비용",1
"유성","유성",1
"율현주공","율현주공",1
"음식","음식",1
"의창구","의창구",1
"이웃","이웃",1
"이편한세상","이편한세상",1
"이후","이후",1
"일간","일간",1
"일어","일어",1
"일저녁","일저녁",1
"임도","임도",1
"있냐하","있냐하",1
"자동차","자동차",1
"자리","자리",1
"자의","자의",1
"잘못","잘못",1
"장보기","장보기",1
"장애","장애",1
"장유롯데마트","장유롯데마트",1
"장유메가병원","장유메가병원",1
"장유면","장유면",1
"장유스파랜드","장유스파랜드",1
"저곳","저곳",1
"저리결","저리결",1
"전화","전화",1
"점거","점거",1
"젤미","젤미",1
"종류","종류",1
"주도","주도",1
"주말많되","주말많되",1
"주어","주어",1
"주차및","주차및",1
"주차위반","주차위반",1
"주차하는데","주차하는데",1
"주차할","주차할",1
"주행","주행",1
"지난번","지난번",1
"지도및","지도및",1
"지도상","지도상",1
"진의","진의",1
"진입","진입",1
"진입로","진입로",1
"집행","집행",1
"징애인주","징애인주",1
"차량둘다","차량둘다",1
