"","word","freq"
"교육","교육",34
"불법주정차","불법주정차",26
"영업","영업",20
"버스","버스",15
"무사고","무사고",14
"외동","외동",13
"차량","차량",11
"가게","가게",10
"개인택시","개인택시",10
"허가","허가",10
"회사","회사",10
"통보","통보",9
"미성년자","미성년자",8
"상태","상태",8
"위험","위험",8
"인정","인정",8
"조치","조치",8
"주차","주차",8
"통지","통지",8
"한국","한국",8
"경력","경력",6
"내외","내외",6
"년도","년도",6
"새벽","새벽",6
"설치","설치",6
"영업정지","영업정지",6
"이수","이수",6
"인지","인지",6
"장애인","장애인",6
"조항","조항",6
"진행","진행",6
"차아파트","차아파트",6
"관할","관할",5
"교통안전","교통안전",5
"당연","당연",5
"도로","도로",5
"받았","받았",5
"안내","안내",5
"출발","출발",5
"피해","피해",5
"현장","현장",5
"강사","강사",4
"개선","개선",4
"개인","개인",4
"경찰","경찰",4
"고가","고가",4
"구제","구제",4
"구조","구조",4
"근거","근거",4
"내고","내고",4
"년반","년반",4
"누락","누락",4
"당당","당당",4
"당해","당해",4
"도로교통","도로교통",4
"무사","무사",4
"불법","불법",4
"불편","불편",4
"수강신청","수강신청",4
"실수","실수",4
"아파트","아파트",4
"안전","안전",4
"어의","어의",4
"업장","업장",4
"업체","업체",4
"오류","오류",4
"운수","운수",4
"이후","이후",4
"일반차량","일반차량",4
"주차장","주차장",4
"차고","차고",4
"창문","창문",4
"청의","청의",4
"촬영","촬영",4
"호소","호소",4
"거리","거리",3
"거주","거주",3
"건물","건물",3
"계획","계획",3
"고도","고도",3
"금연구역","금연구역",3
"내부","내부",3
"매연","매연",3
"방법","방법",3
"배치","배치",3
"벌금","벌금",3
"부착","부착",3
"불의","불의",3
"빈번","빈번",3
"사고가","사고가",3
"수고","수고",3
"이동","이동",3
"점검","점검",3
"중앙","중앙",3
"중앙병원","중앙병원",3
"중요","중요",3
"직시","직시",3
"차선","차선",3
"파일","파일",3
"현수막","현수막",3
"개짖는소","개짖는소",2
"거기","거기",2
"거품","거품",2
"걱정","걱정",2
"계단","계단",2
"계약","계약",2
"계약금","계약금",2
"공부","공부",2
"과태료","과태료",2
"광고전","광고전",2
"그걸","그걸",2
"근데","근데",2
"날씨","날씨",2
"남은걸","남은걸",2
"내어","내어",2
"년무사","년무사",2
"눈물","눈물",2
"늦었","늦었",2
"단속","단속",2
"당할시","당할시",2
"당했","당했",2
"대문","대문",2
"대출이자","대출이자",2
"도배","도배",2
"따름","따름",2
"막무가내","막무가내",2
"메가마트","메가마트",2
"며칠","며칠",2
"명시","명시",2
"몇푼더","몇푼더",2
"못받아","못받아",2
"못받은건데","못받은건데",2
"무조건","무조건",2
"물고기","물고기",2
"미이수","미이수",2
"밤낮","밤낮",2
"밤샘","밤샘",2
"밥줄","밥줄",2
"방검찰청","방검찰청",2
"방식","방식",2
"방팔방","방팔방",2
"버릴려","버릴려",2
"범법","범법",2
"법포위망","법포위망",2
"보험","보험",2
"본문","본문",2
"부분","부분",2
"분성","분성",2
"불법광고","불법광고",2
"불철주야","불철주야",2
"뻔뻔","뻔뻔",2
"살릴려","살릴려",2
"상관","상관",2
"새해","새해",2
"서류","서류",2
"설명","설명",2
"설명도","설명도",2
"센터","센터",2
"소방서","소방서",2
"소재","소재",2
"수긍","수긍",2
"수리","수리",2
"수족관","수족관",2
"수차례","수차례",2
"술판","술판",2
"시넘어","시넘어",2
"시작","시작",2
"시행규칙","시행규칙",2
"식구","식구",2
"심각","심각",2
"아무죄없","아무죄없",2
"아무탈","아무탈",2
"안받았기","안받았기",2
"알고싶","알고싶",2
"압축","압축",2
"앞차","앞차",2
"양수","양수",2
"어린","어린",2
"어린이","어린이",2
"억울","억울",2
"엄연","엄연",2
"여객","여객",2
"연결","연결",2
"올려보내","올려보내",2
"완수","완수",2
"왼쪽","왼쪽",2
"용량","용량",2
"우회","우회",2
"우회전","우회전",2
"운수사업","운수사업",2
"운행","운행",2
"원론적","원론적",2
"위반","위반",2
"유턴","유턴",2
"율하","율하",2
"음식점","음식점",2
"이랑","이랑",2
"이전","이전",2
