"","lhs","","rhs","support","confidence","lift"
"6","{장애인}","=>","{불법주정차}",0.153328850033625,0.817204301075269,1.92886158047448
"7","{불법주정차}","=>","{장애인}",0.153328850033625,0.361904761904762,1.92886158047448
"1","{}","=>","{장애인}",0.187626092804304,0.187626092804304,1
"2","{}","=>","{주차}",0.167114996637525,0.167114996637525,1
"4","{}","=>","{불법주정차}",0.423671822461332,0.423671822461332,1
"5","{}","=>","{도로}",0.214189643577673,0.214189643577673,1
"3","{}","=>","{차량}",0.157700067249496,0.157700067249496,1
